"","case_number","recalled","recalled_log","recovered","date","month","month_name","Season","year","species","reason","recall_class","summary","dup","rec_text","recovered_text","recovered_log","Pr_recov","Pr_recov_log","year_n"
"101","130-2015",2659,3.42488163663107,312,"10/22/15",10,"October","Autumn",2015,"mixed","Other","Class I",FALSE,FALSE,"2659","312",2.49554433754645,0.117337344866491,-0.929337299084619,21
"102","131-2015",234,2.37106786227174,141,"10/24/15",10,"October","Autumn",2015,"poultry","Listeria","Class I",FALSE,FALSE,"234","141",2.15228834438306,0.602564102564103,-0.21877951788868,21
"103","132-2015",224,2.35218251811136,81,"10/26/15",10,"October","Autumn",2015,"mixed","Listeria","Class I",FALSE,FALSE,"224","81",1.91381385238372,0.361607142857143,-0.438368665727646,21
"104","134-2015",190,2.28103336724773,190,"10/30/15",10,"October","Autumn",2015,"poultry","Undeclared Allergen","Class II",FALSE,FALSE,"190","190",2.28103336724773,1,0,21
"105","135-2015",167427,5.22382808943156,28206,"11/1/15",11,"November","Autumn",2015,"beef","STEC","Class I",FALSE,FALSE,"167427","28206",4.45035689853649,0.168467451486319,-0.773471190895065,21
"106","136-2015",265,2.42488163663107,850,"11/1/15",11,"November","Autumn",2015,"mixed","Undeclared Allergen","Class I",FALSE,FALSE,"265","850",2.92992956008459,3.20754716981132,0.505047923453521,21
"107","138-2015",4030,3.60541279815305,1054,"11/6/15",11,"November","Autumn",2015,"pork","Other","Class I",FALSE,FALSE,"4030","1054",3.02325245963371,0.261538461538462,-0.58216033851934,21
"108","140-2015",3607,3.5572665288699,0,"11/7/15",11,"November","Autumn",2015,"mixed","Undeclared Allergen","Class I",FALSE,FALSE,"3607","0",0,0,-3.5572665288699,21
"109","141-2015",52486,4.72005175050334,32047,"11/17/15",11,"November","Autumn",2015,"poultry","Other","Class II",FALSE,FALSE,"52486","32047",4.5058009319495,0.610581869450901,-0.214250818553837,21
"110","142-2015",59028,4.77106542597639,41930,"11/19/15",11,"November","Autumn",2015,"mixed","Undeclared Allergen","Class II",FALSE,FALSE,"59028","41930",4.62253521988755,0.710340855187369,-0.148530206088849,21
"111","143-2015",NA,NA,982,"11/25/15",11,"November","Autumn",2015,"beef","Undeclared Allergen","Class II",FALSE,FALSE,NA,"982",2.99255351783214,NA,NA,21
"112","144-2015",1754,3.24427712080184,0,"11/27/15",11,"November","Autumn",2015,"mixed","Other","Class I",FALSE,FALSE,"1754","0",0,0,-3.24427712080184,21
"113","145-2015",152010,5.18187501601351,8316,"12/3/15",12,"December","Autumn",2015,"mixed","Undeclared Allergen","Class I",FALSE,FALSE,"152010","8316",3.91996670148339,0.0547069271758437,-1.26190831453013,21
"114","146-2015",12146,4.08446903148808,1808,"12/9/15",12,"December","Autumn",2015,"pork","Undeclared Allergen","Class II",FALSE,FALSE,"12146","1808",3.25743856685981,0.1488555903178,-0.827030464628262,21
"115","001-2014",33840,4.52944318793865,NA,"1/10/14",1,"January","Winter",2014,"poultry","Salmonella","Class I",TRUE,FALSE,"33840",NA,NA,NA,NA,20
"116","002-2014",42103,4.62432335700922,NA,"1/13/14",1,"January","Winter",2014,"beef","Other","Class I",TRUE,FALSE,"42103",NA,NA,NA,NA,20
"117","003-2014",2664,3.42569721336259,NA,"1/15/14",1,"January","Winter",2014,"beef","Undeclared Allergen","Class I",TRUE,FALSE,"2664",NA,NA,NA,NA,20
