,case_number,recalled,recalled_log,recovered,date,month,month_name,Season,year,species,reason,recall_class,summary,dup
195,081-2014,14,1.176091259,0,11/19/14,11,November,Autumn,2014,mixed,Undeclared Allergen,Class I,TRUE,FALSE
196,082-2014,1200,3.079543007,NA,11/22/14,11,November,Autumn,2014,beef,STEC,Class I,TRUE,FALSE
197,083-2014,44372,4.647118792,531,12/4/14,12,December,Autumn,2014,pork,Other,Class I,TRUE,FALSE
198,084-2014,308,2.489958479,34,12/10/14,12,December,Autumn,2014,mixed,Undeclared Allergen,Class II,TRUE,FALSE
199,085-2014,2719,3.434568904,958,12/19/14,12,December,Autumn,2014,mixed,Other,Class III,TRUE,FALSE
200,087-2014,26108,4.416790238,15236,12/22/14,12,December,Winter,2014,pork,Other,Class I,TRUE,FALSE
201,086-2014,80050,4.903366762,21700,12/22/14,12,December,Winter,2014,pork,Undeclared Substance,Class III,TRUE,FALSE
202,088-2014,3450,3.537944959,2595,12/23/14,12,December,Winter,2014,pork,Other,Class III,TRUE,FALSE
203,090-2014,83666,4.922554197,23355,12/27/14,12,December,Winter,2014,pork,Undeclared Allergen,Class I,TRUE,FALSE
204,089-2014,190450,5.279783257,48396,12/27/14,12,December,Winter,2014,pork,Undeclared Allergen,Class I,TRUE,FALSE
205,091-2014,55813,4.746743148,NA,12/27/14,12,December,Winter,2014,mixed,Undeclared Allergen,Class I,TRUE,FALSE
206,092-2014,38400,4.584342534,NA,12/29/14,12,December,Winter,2014,mixed,Undeclared Allergen,Class I,TRUE,FALSE
207,093-2014,5300,3.724357804,5308,12/31/14,12,December,Winter,2014,poultry,Undeclared Allergen,Class I,TRUE,FALSE
208,094-2014,4474,3.65079304,0,12/31/14,12,December,Winter,2014,mixed,Undeclared Allergen,Class I,TRUE,FALSE
209,001-2013,2532,3.40363519,50,1/15/13,1,January,Winter,2013,beef,STEC,Class I,TRUE,FALSE
210,002-2013,2764,3.441695136,151,1/17/13,1,January,Winter,2013,poultry,Other,Class I,TRUE,FALSE
211,003-2013,1572,3.196728723,14,1/18/13,1,January,Winter,2013,poultry,Undeclared Allergen,Class I,TRUE,FALSE
212,004-2013,33500,4.525057771,27920,1/19/13,1,January,Winter,2013,mixed,Listeria,Class I,TRUE,FALSE
213,005-2013,79400,4.899825972,1255,1/22/13,1,January,Winter,2013,mixed,Undeclared Substance,Class III,TRUE,FALSE
214,006-2013,NA,NA,142445,1/23/13,1,January,Winter,2013,mixed,Extraneous Material,Class II,TRUE,FALSE
215,008-2013,500,2.699837726,0,1/24/13,1,January,Winter,2013,beef,Salmonella,Class I,TRUE,FALSE
216,007-2013,4700,3.672190251,NA,1/24/13,1,January,Winter,2013,mixed,Salmonella,Class I,TRUE,FALSE
217,009-2013,550,2.741151599,0,1/25/13,1,January,Winter,2013,beef,Salmonella,Class I,TRUE,FALSE
